               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11793,            0.058995,                   0,            0.025377,             0.10937,            0.025853,           0.0054861,             0.10792,             0.05182,                   0,              0.0892,              0.0012,              0.0012
                   1,              0.1034,            0.074985,                   0,             0.16487,             0.22857,             0.10564,            0.030519,             0.10222,            0.046869,                   0,            0.077492,           0.0024918,           0.0024918
                   2,            0.090008,            0.076776,                   0,             0.28409,             0.25714,             0.28771,            0.082751,            0.093502,            0.061645,                   0,            0.065775,           0.0037749,           0.0037749
                   3,            0.077477,            0.065674,                   0,             0.25011,             0.57143,             0.26404,            0.053328,            0.085756,            0.053057,                   0,             0.05405,           0.0050495,           0.0050495
                   4,            0.070782,            0.061519,                   0,             0.19816,             0.75714,             0.24155,            0.067721,            0.082527,             0.05026,                   0,            0.042316,           0.0063155,           0.0063155
                   5,            0.073935,            0.058258,                   0,             0.12625,             0.34286,             0.12398,             0.04167,             0.10167,            0.048332,                   0,            0.030573,            0.007573,            0.007573
                   6,            0.080931,            0.052767,                   0,             0.17362,             0.47143,             0.17718,            0.046061,            0.092851,            0.035206,                   0,            0.018822,           0.0088218,           0.0088218
                   7,              0.0717,            0.057008,                   0,             0.33869,             0.57143,             0.37943,             0.13556,             0.08374,            0.031422,                   0,            0.009769,            0.009769,            0.009769
                   8,             0.07411,            0.050821,                   0,             0.45735,             0.38529,             0.35977,             0.14946,            0.080292,              0.0307,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.066831,            0.052382,                   0,             0.32022,             0.74286,             0.48715,             0.22686,            0.067844,            0.033601,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.059965,            0.049617,                   0,             0.36661,             0.58571,             0.40897,             0.19306,            0.076642,            0.034645,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.056743,            0.051206,                   0,             0.41102,             0.67143,             0.47117,             0.19985,            0.074125,            0.031764,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.054998,            0.045908,                   0,             0.67427,             0.73931,             0.79317,              0.3559,            0.049953,             0.03041,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.048931,            0.047358,                   0,             0.66131,             0.67143,             0.77151,             0.40717,            0.056162,            0.031119,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.046418,            0.046838,                   0,             0.64352,             0.92857,             0.84699,             0.38792,            0.047087,             0.03041,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.043693,            0.045628,                   0,             0.49579,             0.98331,             0.60826,             0.31515,            0.042256,            0.029907,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.042368,            0.045778,                   0,             0.68605,             0.85714,             0.86164,               0.497,            0.047612,            0.028753,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.041948,            0.049085,                   0,              0.7645,             0.88117,             0.89748,             0.51618,             0.04783,            0.029314,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.038808,             0.04617,                   0,             0.83672,             0.87855,              0.9455,             0.48241,            0.042446,            0.029836,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.040829,            0.046559,                   0,             0.54158,                 0.9,              0.7467,              0.4207,            0.041696,             0.02824,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.036798,            0.041514,                   0,             0.89344,             0.83849,             0.95115,             0.49658,            0.041558,            0.030055,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.033979,            0.038593,                   0,             0.87699,             0.81479,             0.94638,             0.60963,            0.036275,            0.029372,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.035594,            0.041736,                   0,             0.95684,             0.95024,             0.98247,             0.65934,            0.032421,            0.025326,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.035176,            0.041345,                   0,             0.84033,             0.82707,             0.93856,              0.6082,            0.038675,            0.026555,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.033472,            0.043513,                   0,             0.93461,             0.91429,             0.97023,             0.60909,            0.033027,            0.030938,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.028572,            0.040556,                   0,             0.93191,             0.91429,             0.97567,             0.58689,            0.033482,            0.025562,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.030912,            0.042121,                   0,             0.93478,                 0.9,             0.97335,             0.67747,            0.035342,            0.027986,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.032123,            0.040087,                   0,             0.84391,             0.91429,             0.95887,             0.65985,            0.035501,            0.027109,                   0,            0.009142,            0.009142,            0.009142
                  28,            0.030746,            0.037885,                   0,             0.95099,             0.94286,             0.98557,             0.63049,             0.03784,            0.025929,                   0,            0.009109,            0.009109,            0.009109
                  29,            0.033492,            0.040144,                   0,             0.96646,             0.98571,             0.99099,             0.68837,            0.029648,            0.023286,                   0,            0.009076,            0.009076,            0.009076
                  30,            0.032438,            0.039509,                   0,             0.98656,             0.94286,             0.99066,             0.68736,              0.0338,            0.023679,                   0,            0.009043,            0.009043,            0.009043
                  31,            0.031353,            0.040053,                   0,             0.98676,             0.97143,             0.99395,               0.649,            0.032076,            0.024998,                   0,             0.00901,             0.00901,             0.00901
                  32,            0.030781,            0.041785,                   0,             0.99152,             0.95714,             0.99322,             0.67187,            0.033269,            0.024305,                   0,            0.008977,            0.008977,            0.008977
                  33,            0.030254,            0.038516,                   0,             0.94538,             0.98908,             0.99218,             0.68595,            0.032908,            0.025094,                   0,            0.008944,            0.008944,            0.008944
                  34,            0.029156,             0.03662,                   0,             0.96814,             0.91429,              0.9791,             0.65899,            0.031328,            0.024285,                   0,            0.008911,            0.008911,            0.008911
                  35,              0.0261,               0.036,                   0,             0.94564,             0.98571,             0.99249,             0.73351,            0.030234,            0.023421,                   0,            0.008878,            0.008878,            0.008878
                  36,            0.029203,            0.037324,                   0,             0.89134,             0.93749,             0.97354,             0.68815,            0.035564,            0.025265,                   0,            0.008845,            0.008845,            0.008845
